record_id,participant_id,program_code,main_group,order_variant,age_group,design_education,digital_use,crowd_discomfort,study_duration_min,sensitivity_focus_or_reload_flag,final_usefulness,final_ease,final_representational_value,final_future_preference,trial_order,landmark_id,task_type,initial_density,first_user_selected_density,committed_density,density_sequence,switch_count,unique_levels_viewed,all_density_levels_clicked,selection_time_s,localization_time_s,time_empty_s,time_low_s,time_moderate_s,time_high_s,accuracy,aoi_distance,click_x,click_y,familiarity_visited,familiarity_visual,familiarity_spatial,rating_answer_confidence,rating_comparison_benefit,rating_control_usefulness,rating_ideal_density,rating_aesthetic_appeal,rating_expected_comfort,rating_self_location_imagery,rating_informational_adequacy,rating_representational_realism,review_selection_time_3iqr,review_localization_time_3iqr
P016_T2,P016,D2,D,2,18-34,no,2,3,10.7,False,7,7,7,7,2,duomo,visit,high,empty,low,high>empty>low,2,3,0,15.09,,0.771,1.343,0.0,12.976,,,,,no,1,1,,,7,moderate,6.0,6.0,4.0,4.0,5.0,False,False
P016_T3,P016,D2,D,2,18-34,no,2,3,10.7,False,7,7,7,7,3,cologne,feature,low,low,low,low,0,1,0,2.76,5.4,0.0,2.76,0.0,0.0,1.0,0.043,0.464,0.727,no,1,1,7.0,7.0,7,,,,,,,False,False
P016_T4,P016,D2,D,2,18-34,no,2,3,10.7,False,7,7,7,7,4,notre_dame,visit,empty,high,high,empty>high,1,2,0,10.343,,8.303,0.0,0.0,2.04,,,,,no,1,1,,,6,high,5.0,7.0,6.0,5.0,5.0,False,False
P017_T1,P017,B2,B,2,35-64,no,4,2,8.5,False,7,7,7,7,1,duomo,feature,moderate,moderate,moderate,moderate,0,1,0,5.453,4.89,0.0,0.0,5.453,0.0,0.0,0.19,0.577,0.545,no,3,4,7.0,7.0,7,,,,,,,False,False
P017_T2,P017,B2,B,2,35-64,no,4,2,8.5,False,7,7,7,7,2,colosseum,visit,high,high,high,high,0,1,0,6.728,,0.0,0.0,0.0,6.728,,,,,yes,5,4,,,7,low,7.0,7.0,7.0,7.0,7.0,False,False
P017_T3,P017,B2,B,2,35-64,no,4,2,8.5,False,7,7,7,7,3,cologne,feature,empty,empty,empty,empty,0,1,0,9.038,4.027,9.038,0.0,0.0,0.0,0.0,0.535,0.862,0.339,yes,5,3,7.0,7.0,7,,,,,,,False,False
P017_T4,P017,B2,B,2,35-64,no,4,2,8.5,False,7,7,7,7,4,notre_dame,visit,low,low,low,low,0,1,0,4.928,,0.0,4.928,0.0,0.0,,,,,yes,3,4,,,7,empty,7.0,7.0,7.0,7.0,7.0,False,False
P018_T1,P018,D2,D,2,18-34,yes,3,3,8.3,False,4,4,5,4,1,colosseum,feature,moderate,empty,low,moderate>empty>moderate>low,3,3,0,6.891,14.281,1.868,1.453,3.57,0.0,0.0,0.19,0.536,0.279,no,3,3,5.0,4.0,5,,,,,,,False,False
P018_T2,P018,D2,D,2,18-34,yes,3,3,8.3,False,4,4,5,4,2,duomo,visit,low,low,low,low,0,1,0,4.082,,0.0,4.082,0.0,0.0,,,,,no,3,3,,,4,moderate,4.0,4.0,4.0,4.0,4.0,False,False
P018_T3,P018,D2,D,2,18-34,yes,3,3,8.3,False,4,4,5,4,3,cologne,feature,empty,low,low,empty>low,1,2,0,5.488,14.506,4.093,1.395,0.0,0.0,1.0,0.045,0.46,0.733,yes,4,5,3.0,4.0,4,,,,,,,False,False
P018_T4,P018,D2,D,2,18-34,yes,3,3,8.3,False,4,4,5,4,4,notre_dame,visit,high,high,high,high,0,1,0,3.113,,0.0,0.0,0.0,3.113,,,,,no,3,2,,,3,moderate,4.0,5.0,7.0,3.0,5.0,False,False
P019_T1,P019,D3,D,3,35-64,no,4,3,2.9,False,6,4,6,5,1,duomo,visit,high,empty,high,high>empty>low>moderate>high>low>empty>low>moderate>high>moderate>high,11,4,1,7.043,,0.945,1.329,0.749,4.02,,,,,no,3,2,,,6,high,7.0,7.0,7.0,7.0,7.0,False,False
P019_T2,P019,D3,D,3,35-64,no,4,3,2.9,False,6,4,6,5,2,cologne,feature,low,empty,high,low>empty>low>moderate>high,4,4,1,3.997,3.9,0.383,1.867,0.307,1.44,1.0,0.049,0.462,0.716,no,2,2,7.0,3.0,6,,,,,,,False,False
P019_T3,P019,D3,D,3,35-64,no,4,3,2.9,False,6,4,6,5,3,notre_dame,visit,moderate,empty,moderate,moderate>empty>low>moderate>high>empty>low>moderate,7,4,1,7.41,,0.907,1.447,3.967,1.089,,,,,yes,6,4,,,6,moderate,4.0,6.0,7.0,6.0,6.0,False,False
P019_T4,P019,D3,D,3,35-64,no,4,3,2.9,False,6,4,6,5,4,colosseum,feature,empty,low,low,empty>low>moderate>high>low,4,4,0,9.166,10.47,2.469,2.813,1.208,2.677,0.0,0.093,0.404,0.484,no,6,4,4.0,3.0,3,,,,,,,False,False
P020_T1,P020,C1,C,1,18-34,no,3,4,7.2,False,6,6,6,6,1,notre_dame,feature,low,empty,high,low>empty>low>moderate>high,4,4,1,12.485,4.354,0.886,8.265,1.211,2.124,0.0,0.426,0.574,0.77,no,3,3,4.0,6.0,6,,,,,,,False,False
P020_T2,P020,C1,C,1,18-34,no,3,4,7.2,False,6,6,6,6,2,colosseum,visit,high,empty,high,high>empty>low>moderate>high,4,4,1,8.667,,1.388,1.277,1.225,4.777,,,,,no,5,3,,,6,high,6.0,6.0,6.0,6.0,6.0,False,False
P020_T3,P020,C1,C,1,18-34,no,3,4,7.2,False,6,6,6,6,3,duomo,feature,moderate,empty,high,moderate>empty>low>moderate>high,4,4,1,10.565,3.582,3.381,1.427,3.91,1.846,0.0,0.137,0.417,0.824,no,5,4,6.0,6.0,6,,,,,,,False,False
P020_T4,P020,C1,C,1,18-34,no,3,4,7.2,False,6,6,6,6,4,cologne,visit,empty,low,high,empty>low>moderate>high,3,4,0,7.19,,3.2,0.973,1.081,1.935,,,,,no,1,1,,,6,high,6.0,6.0,6.0,6.0,6.0,False,False
P021_T1,P021,D1,D,1,18-34,yes,2,7,16.7,True,7,7,7,5,1,notre_dame,visit,empty,low,empty,empty>low>moderate>high>empty>low>empty,6,4,1,33.662,,16.022,5.864,2.13,9.646,,,,,no,5,5,,,7,low,7.0,7.0,7.0,4.0,1.0,False,False
P021_T2,P021,D1,D,1,18-34,yes,2,7,16.7,True,7,7,7,5,2,colosseum,feature,moderate,empty,empty,moderate>empty,1,2,0,51.625,23.425,32.595,0.0,19.03,0.0,0.0,0.094,0.425,0.527,no,4,4,3.0,7.0,4,,,,,,,False,False
P021_T3,P021,D1,D,1,18-34,yes,2,7,16.7,True,7,7,7,5,3,duomo,visit,low,empty,high,low>empty>low>moderate>high,4,4,1,6.547,,0.855,3.623,0.704,1.365,,,,,no,1,1,,,3,low,1.0,1.0,7.0,2.0,7.0,False,False
P021_T4,P021,D1,D,1,18-34,yes,2,7,16.7,True,7,7,7,5,4,cologne,feature,high,empty,empty,high>empty>low>moderate>high>empty,5,4,1,8.873,7.427,3.352,0.593,0.547,4.381,1.0,0.048,0.459,0.724,no,1,1,7.0,7.0,7,,,,,,,False,False
P022_T1,P022,A1,A,1,18-34,no,3,6,9.5,True,6,6,6,6,1,notre_dame,feature,empty,low,low,empty>low>moderate>low>high>moderate>low>empty>low,8,4,1,8.175,99.362,3.12,3.242,1.393,0.42,0.0,0.169,0.542,0.185,yes,5,4,4.0,6.0,6,,,,,,,False,False
P022_T2,P022,A1,A,1,18-34,no,3,6,9.5,True,6,6,6,6,2,duomo,visit,low,moderate,low,low>moderate>high>low>empty>low>moderate>high>low,8,4,1,8.408,,0.6,5.677,0.992,1.139,,,,,no,1,1,,,6,low,6.0,6.0,6.0,6.0,6.0,False,False
