record_id,participant_id,task_type,landmark_id,initial_density,first_participant_initiated_density,committed_density,initial_match,first_participant_initiated_match,changed_from_initial,changed_after_first_participant_initiated_state,viewed_all_four,revisited_any_state,returned_to_initial,adjacent_transitions,skip_transitions,noop_transitions,return_transitions,direction_reversals,net_initial_to_final,sequence_length,switch_count,unique_levels_viewed,selection_time_s,total_dwell_s,dwell_empty_s,dwell_share_empty,dwell_low_s,dwell_share_low,dwell_moderate_s,dwell_share_moderate,dwell_high_s,dwell_share_high
P003_T3,P003,feature,notre_dame,high,empty,empty,0,1,1,0,1,1,1,3,2,0,2,2,-3,6,5,4,22.478,22.478,6.64,0.2953999466144675,2.624,0.1167363644452353,2.575,0.1145564552006406,10.639,0.4733072337396565
P003_T4,P003,visit,duomo,moderate,low,empty,0,0,1,1,1,1,1,3,2,0,2,2,-2,6,5,4,29.74,29.74,4.465,0.1501344989912575,2.128,0.0715534633490248,20.4,0.6859448554135844,2.747,0.0923671822461331
P004_T1,P004,feature,cologne,low,empty,low,1,0,0,1,1,1,1,4,1,0,2,2,0,6,5,4,25.242,25.242,4.167,0.1650820061801759,14.78,0.5855320497583393,2.327,0.0921876238016005,3.968,0.1571983202598843
P004_T2,P004,visit,notre_dame,empty,empty,low,0,0,1,1,1,1,0,3,1,0,1,1,1,5,4,4,33.728,33.728,10.24,0.3036053130929791,15.672,0.4646584440227704,2.672,0.0792220113851992,5.144,0.1525142314990512
P004_T3,P004,feature,colosseum,high,empty,empty,0,1,1,0,0,0,0,0,1,0,0,0,-3,2,1,2,74.888,74.888,15.424,0.2059609016130755,0.0,0.0,0.0,0.0,59.464,0.7940390983869244
P004_T4,P004,visit,duomo,moderate,empty,moderate,1,0,0,1,1,1,1,4,1,0,2,2,0,6,5,4,29.688,29.688,1.984,0.0668283481541363,1.695,0.0570937752627324,8.641,0.2910603610886553,17.368,0.5850175154944759
P005_T1,P005,visit,notre_dame,high,empty,high,1,0,0,1,1,1,1,3,1,0,1,1,0,5,4,4,12.105,12.105,0.502,0.0414704667492771,0.51,0.0421313506815365,0.465,0.0384138785625774,10.628,0.8779843040066089
P005_T2,P005,feature,colosseum,empty,low,moderate,0,0,1,1,1,1,1,17,3,0,17,8,2,21,20,4,31.252,31.252,15.381,0.4921605017278894,4.552,0.1456546781006015,4.11,0.1315115832586714,7.209,0.2306732369128376
P005_T3,P005,visit,duomo,low,empty,high,0,0,1,1,1,1,1,8,0,0,5,5,2,9,8,4,10.703,10.703,0.405,0.0378398579837428,2.471,0.2308698495748855,2.638,0.2464729515089227,5.189,0.4848173409324489
P005_T4,P005,feature,cologne,moderate,low,high,0,0,1,1,1,1,1,16,2,0,15,11,1,19,18,4,15.03,15.031,1.522,0.1012574013705009,3.652,0.2429645399507684,4.43,0.2947242365777393,5.427,0.3610538221009913
P006_T1,P006,visit,cologne,high,low,moderate,0,0,1,1,1,1,1,5,2,0,4,4,-1,8,7,4,14.43,14.43,1.16,0.0803880803880803,2.268,0.1571725571725571,7.468,0.5175329175329175,3.534,0.2449064449064449
P006_T2,P006,feature,notre_dame,low,empty,low,1,0,0,1,1,1,1,4,1,0,2,2,0,6,5,4,5.56,5.56,0.5,0.0899280575539568,3.868,0.6956834532374101,0.5,0.0899280575539568,0.692,0.1244604316546762
P006_T3,P006,visit,duomo,empty,low,low,0,1,1,0,1,1,0,3,1,0,1,1,1,5,4,4,4.372,4.372,2.334,0.5338517840805124,1.2,0.2744739249771272,0.444,0.101555352241537,0.394,0.0901189387008234
P006_T4,P006,feature,colosseum,moderate,high,low,0,0,1,1,1,1,1,5,1,0,3,3,-1,7,6,4,6.316,6.316,0.54,0.0854971500949968,1.436,0.2273590880303989,3.919,0.620487650411653,0.421,0.0666561114629512
P007_T1,P007,feature,duomo,low,moderate,high,0,0,1,1,0,0,0,2,0,0,0,0,2,3,2,3,12.083,12.082,0.0,0.0,7.598,0.6288693924846879,2.429,0.2010428736964078,2.055,0.1700877338189041
P007_T2,P007,visit,colosseum,high,moderate,moderate,0,1,1,0,0,0,0,1,0,0,0,0,-1,2,1,2,6.646,6.6450000000000005,0.0,0.0,0.0,0.0,2.543,0.382693754702784,4.102,0.617306245297216
P007_T3,P007,feature,cologne,empty,empty,empty,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.273,5.273,5.273,1.0,0.0,0.0,0.0,0.0,0.0,0.0
